"Date","Close","MA5","MA10","MA20","MA50","EMA12","EMA26","RSI","MACD","MACD_Signal","MACD_Hist","BB_Upper","BB_Middle","BB_Lower","ROC","Momentum","ATR","Volume","Amount","Volume_MA","Volume_Ratio","Pct_Chg","Change","Price_Position","Future_Return","Label"
"2025-11-19","37.3100","36.1200","36.3960","36.6120","40.6724","36.4944","37.7612","47.5434","-1.2668","NaN","NaN","38.1240","36.6120","35.1000","2.4437","0.8900","1.3379","301419.08","1129394.31","396192.5210","0.7608","-1.2702","-0.4800","0.7308","0.012865","HOLD"
"2025-11-18","37.7900","36.4840","36.4980","36.7370","40.3988","36.6937","37.7633","51.0840","-1.0696","NaN","NaN","38.2014","36.7370","35.2726","2.7740","1.0200","1.3214","414559.40","1569078.79","399138.9845","1.0386","0.6391","0.2400","0.8595","-0.006351","HOLD"
"2025-11-17","37.5500","36.9320","36.5040","36.7925","40.0676","36.8255","37.7475","57.2948","-0.9221","NaN","NaN","38.2932","36.7925","35.2918","0.1600","0.0600","1.2786","369544.48","1390840.77","402771.2925","0.9175","-0.6088","-0.2300","0.7524","0.006125","HOLD"
"2025-11-14","37.7800","37.4380","36.6210","36.8225","39.7582","36.9723","37.7499","57.7444","-0.7776","NaN","NaN","38.3788","36.8225","35.2662","3.1958","1.1700","1.2757","530507.92","2023039.82","407718.6965","1.3012","-3.8677","-1.5200","0.8076","0.040233","UP"
"2025-11-13","39.3000","37.9460","36.9150","36.9520","39.5082","37.3304","37.8647","68.3673","-0.5343","NaN","NaN","38.8601","36.9520","35.0439","8.0858","2.9400","1.3643","620373.33","2458861.39","420758.4830","1.4744","1.2104","0.4700","1.1153","-0.011959","HOLD"
"2025-11-12","38.8300","38.2500","37.1850","37.0125","39.1580","37.5611","37.9362","62.9397","-0.3751","NaN","NaN","39.0799","37.0125","34.9451","7.4730","2.7000","1.4221","555227.52","2134733.78","429728.3420","1.2920","0.0773","0.0300","0.9396","-0.000773","HOLD"
"2025-11-11","38.8000","38.4520","37.4680","37.0700","38.8140","37.7517","38.0002","59.0096","-0.2485","NaN","NaN","39.2717","37.0700","34.8683","7.8677","2.8300","1.5071","669160.78","2634496.05","438195.8490","1.5271","-3.3383","-1.3400","0.8929","0.034536","UP"
"2025-11-10","40.1400","38.9700","37.9510","37.1955","38.4946","38.1191","38.1587","72.8331","-0.0396","NaN","NaN","39.7838","37.1955","34.6072","13.6788","4.8300","1.5579","552806.62","2216481.96","437702.3695","1.2630","-0.0996","-0.0400","1.0688","0.000997","HOLD"
"2025-11-07","40.1800","39.4500","38.4440","37.3750","38.2780","38.4362","38.3084","75.3989","0.1278","NaN","NaN","40.2666","37.3750","34.4834","13.9858","4.9300","1.5350","604319.68","2439006.13","452675.6740","1.3350","-3.4599","-1.4400","0.9850","0.035839","UP"
"2025-11-06","41.6200","39.9140","38.9300","37.6185","38.1466","38.9260","38.5537","81.4433","0.3723","NaN","NaN","41.0570","37.6185","34.1800","13.2209","4.8600","1.5786","825027.83","3392311.04","479853.6115","1.7193","3.6355","1.4600","1.0819","-0.035079","DOWN"
"2025-11-05","40.1600","40.1800","39.2150","37.8055","38.0126","39.1159","38.6727","70.8873","0.4431","NaN","NaN","41.3739","37.8055","34.2371","7.6387","2.8500","1.6600","673118.95","2679245.31","498481.5945","1.3503","-1.7613","-0.7200","0.8299","0.017928","HOLD"
