"Date","Price","Predicted_Signal","Actual_Action","Confidence","Shares","Cash","Total_Value","Return"
"2025-02-06","29.91","BUY","BUY","0.8035","3338","10.61","99850.19","-0.1498"
"2025-02-07","30.36","SELL","SELL","0.7555","0","101200.33","101200.33","1.2003"
"2025-02-10","30.13","SELL","HOLD","0.7893","0","101200.33","101200.33","1.2003"
"2025-02-11","29.43","HOLD","HOLD","0.2157","0","101200.33","101200.33","1.2003"
"2025-02-12","30.50","BUY","BUY","0.8116","3313","2.21","101048.71","1.0487"
"2025-02-13","29.65","HOLD","HOLD","0.1751","3313","2.21","98232.66","-1.7673"
"2025-02-14","30.84","BUY","HOLD","0.8035","3313","2.21","102175.13","2.1751"
"2025-02-17","30.64","SELL","SELL","0.7774","0","101360.31","101360.31","1.3603"
"2025-02-18","29.58","HOLD","HOLD","0.1732","0","101360.31","101360.31","1.3603"
"2025-02-19","30.43","BUY","BUY","0.8065","3325","28.74","101208.49","1.2085"
"2025-02-20","29.88","SELL","SELL","0.6944","0","99230.77","99230.77","-0.7692"
"2025-02-21","30.88","BUY","BUY","0.7965","3208","19.08","99082.12","-0.9179"
"2025-02-24","31.62","BUY","HOLD","0.7846","3208","19.08","101456.04","1.4560"
"2025-02-25","31.00","HOLD","HOLD","0.3121","3208","19.08","99467.08","-0.5329"
"2025-02-26","31.19","SELL","SELL","0.7804","0","99926.57","99926.57","-0.0734"
"2025-02-27","30.38","HOLD","HOLD","0.2231","0","99926.57","99926.57","-0.0734"
"2025-02-28","28.51","HOLD","HOLD","0.2312","0","99926.57","99926.57","-0.0734"
"2025-03-03","28.43","SELL","HOLD","0.8154","0","99926.57","99926.57","-0.0734"
"2025-03-04","28.99","SELL","HOLD","0.6466","0","99926.57","99926.57","-0.0734"
"2025-03-05","28.88","SELL","HOLD","0.8216","0","99926.57","99926.57","-0.0734"
"2025-03-06","29.37","SELL","HOLD","0.7280","0","99926.57","99926.57","-0.0734"
"2025-03-07","28.81","SELL","HOLD","0.6419","0","99926.57","99926.57","-0.0734"
"2025-03-10","28.70","SELL","HOLD","0.8503","0","99926.57","99926.57","-0.0734"
"2025-03-11","28.55","SELL","HOLD","0.8503","0","99926.57","99926.57","-0.0734"
"2025-03-12","28.64","SELL","HOLD","0.8416","0","99926.57","99926.57","-0.0734"
